,Official_site,Url_title,Url,Description
0,Internshala,Internshala,https://internshala.com/,"Internshala is India's no.1 internship jobs and training platform with 40000+ paid internships in Engineering, MBA, media, law, arts, and other streams."
1,LinkedIn · Internshala,Internshala,https://in.linkedin.com/company/internshala,We are a technology company on a mission to equip students with relevant skills & practical exposure through internships and online trainings. Imagine a world ...
2,Google Play,Internshala Internships & Jobs - Apps on Google Play,https://play.google.com/store/apps/details?id=com.internshala.app&hl=en&gl=US,Finding and applying for internships and fresher jobs that you want is now even easier with Internshala's free app for students and freshers.
3,Instagram · internshala,Internshala (@internshala) • Instagram photos and videos,https://www.instagram.com/internshala/?hl=en,"81K Followers, 5 Following, 1323 Posts - See what Internshala (@internshala) is sharing on Instagram."
4,LinkedIn India,49 Internshala jobs in India (8 new),https://in.linkedin.com/jobs/internshala-jobs,"Today's top 49 Internshala jobs in India. Leverage your professional network, and get hired. New Internshala jobs added daily."
5,Wikipedia,Internshala,https://en.wikipedia.org/wiki/Internshala,"Internshala is an internship and online training platform, based in Gurgaon, India. Founded by Sarvesh Agrawal, an IIT Madras alumnus, in 2011, ..."
6,The Economic Times,"Latest News & Videos, Photos about internshala",https://economictimes.indiatimes.com/topic/internshala,Internshala announces free access to its online training programmes for children of healthcare workers ... The students can choose to learn a number of skills ...
7,YouTube · Internshala,Internshala,https://www.youtube.com/c/InternshalaOfficial,Popular Live Streams · Business Communication - Learn effective communication skills! | World Education Day Fair 2022 · Learn 3D Modelling with SOLIDWORKS! | ...
8,Facebook · Internshala,Internshala | Gurugram,https://www.facebook.com/Internshala/,"Through this scholarship, we aim to upskill meritorious college students by providing them free government-accredited trainings worth INR 1.5Cr in 80+ in-demand ..."
9,X · Internshala,Internshala,https://twitter.com/Internshala,We are a technology company on a mission to equip students with relevant skills & practical exposure through internships and online trainings.
10,Indeed,30 Internshala Jobs and Vacancies - 1 December 2023,https://in.indeed.com/q-internshala-jobs.html,30 Internshala jobs available on Indeed.com.
11,Shiksha,61 Internshala Training & Courses Online 2023,https://www.shiksha.com/online-courses/internshala-courses-certification-training-v521,Internshala Online Courses & · Showing 61 results. vendor · Digital Marketing Training · Learn Programming with Python · Core Java Certification. 71 reviews.
12,glassdoor.co.in,Working at Internshala - Glassdoor,"https://www.glassdoor.co.in/Overview/Working-at-Internshala-EI_IE901048.11,22.htm","6 days ago — Overall, 66% of employees would recommend working at Internshala to a friend. This is based on 228 anonymously submitted reviews on Glassdoor."
13,NDTV,"Latest News, Photos, Videos on Internshala",https://www.ndtv.com/topic/internshala,"Find Internshala Latest News, Videos & Pictures on Internshala and see latest updates, news, information from NDTV.COM. Explore more on Internshala."
